1459012046.579000, /muse/acc, -218.75034, 964.8453, 136.71896
1459012046.586000, /muse/eeg, 845.5199, 829.07007, 843.87494, 840.58496
1459012046.586000, /muse/eeg, 837.295, 822.4902, 847.16486, 852.0998
1459012046.586000, /muse/eeg, 845.5199, 827.4251, 847.16486, 857.0347
1459012046.586000, /muse/eeg, 835.65, 830.7151, 842.2299, 822.4902
1459012046.586000, /muse/eeg, 837.295, 837.295, 842.2299, 830.7151
1459012046.586000, /muse/eeg, 837.295, 835.65, 842.2299, 832.36005
1459012046.586000, /muse/eeg, 838.94, 829.07007, 845.5199, 842.2299
1459012046.586000, /muse/eeg, 847.16486, 824.13513, 843.87494, 853.7448
1459012046.586000, /muse/eeg, 853.7448, 820.8452, 842.2299, 848.8099
1459012046.586000, /muse/eeg, 861.9697, 827.4251, 840.58496, 853.7448
1459012046.590000, /muse/acc, -218.75034, 964.8453, 136.71896
1459012046.606000, /muse/acc, -218.75034, 968.7515, 136.71896
1459012046.625000, /muse/acc, -218.75034, 964.8453, 136.71896
1459012046.643000, /muse/eeg, 850.45483, 832.36005, 838.94, 838.94
1459012046.643000, /muse/eeg/quantization, 1, 1, 1, 1
1459012046.643000, /muse/eeg, 842.2299, 837.295, 840.58496, 838.94
1459012046.643000, /muse/eeg, 847.16486, 830.7151, 840.58496, 830.7151
1459012046.643000, /muse/eeg, 845.5199, 829.07007, 842.2299, 827.4251
1459012046.643000, /muse/eeg, 847.16486, 830.7151, 843.87494, 838.94
1459012046.643000, /muse/eeg, 848.8099, 825.78015, 843.87494, 834.005
1459012046.643000, /muse/eeg, 845.5199, 827.4251, 843.87494, 838.94
1459012046.644000, /muse/elements/alpha_relative, 0.53810465, 0.19075516, 0.16874178, 0.43935287
1459012046.644000, /muse/elements/beta_relative, 0.14643624, 0.15748645, 0.2070983, 0.2589171
1459012046.644000, /muse/elements/delta_relative, 0.1274142, 0.36110076, 0.23291415, 0.08285021
1459012046.644000, /muse/elements/gamma_relative, 0.11081946, 0.17078322, 0.15898634, 0.14096197
1459012046.644000, /muse/elements/theta_relative, 0.077225424, 0.11987441, 0.23225941, 0.077917844
1459012046.644000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1459012046.644000, /muse/elements/is_good, 1, 1, 1, 1
1459012046.644000, /muse/elements/blink, 0
1459012046.644000, /muse/elements/jaw_clench, 0
1459012046.644000, /muse/elements/touching_forehead, 1
1459012046.645000, /muse/elements/experimental/concentration, 0.0
1459012046.645000, /muse/elements/experimental/mellow, 0.26168972
